,date,calories,total_fat_g,protein_g,saturated_fat_g,cholesterol_mg,sodium_mg,carbohydrate_g,fiber_g,sugar_g,vitamin_d_iu,calcium_mg,potassium_mg,iron_mg
60,2017-04-01,119911.0,2894121097.915,2539725318.708,702477601.5799999,2056226265.0,55301994468.56,26944110645.848003,1890498809.107,7675378092.544001,373006021.4,13465691478.26,82208568735.7,1271290699.092
61,2017-07-01,79296.0,351748671.645,211464360.34600002,97918174.79,419738623.0,9057726553.2,2434808148.506,108912880.72299999,1136279489.915,78378222.0,1714738050.57,6145742137.7300005,98500442.759
62,2017-10-01,111324.0,1618171071.466,1220125461.422,412779720.09,2200983072.0,38351535675.14,12149123946.1,748225130.068,4423480857.291,474315214.1,8274174248.23,36766986892.38,560422982.445
63,2018-01-01,105986.0,1958854026.687,1222743453.959,466424590.32,2040430417.0,34744496437.48,12144044605.84,821523120.0699999,3785877950.009,388581197.2,7871139744.37,37596844254.31,589654093.79
64,2018-04-01,116311.0,3314204767.329,2073808302.5200002,749578584.17,2011398521.0,55924180343.56,22461097276.172,1406163970.405,7664748089.689,375290796.3,13190886275.39,66076709502.75,1019261951.825
65,2018-07-01,83770.0,542230946.961,221978517.377,131883628.81,342164192.0,9155248652.26,2446755924.53,135240986.438,1357434344.8700001,57178124.4,2333261668.14,7664095731.87,94445027.567
66,2018-10-01,107580.0,1843787989.621,1451353284.335,408058024.0,1252469605.0,30957595247.92,14071304304.678,1129548470.372,4272982418.841,294297965.8,8822121340.53,49285991237.85,680674209.492
67,2019-01-01,106539.0,2161144364.632,1621323477.413,439093800.21,1475245683.0,30092523725.739998,17753891023.279,1143979815.8930001,4068214218.713,240817929.8,7551370957.27,48317719641.47,878729613.5590001
68,2019-04-01,114014.0,3767270773.092,1862655893.858,746311327.36,2000442401.0,51220471830.14,20380599038.079,1274411435.83,6804212503.261,293061868.3,11793971208.25,59373214406.43,943862976.13
69,2019-07-01,83386.0,763623518.841,587574384.357,158118484.19,491786389.0,11631099059.1,5415714673.165,500442780.54999995,1751005608.647,72850670.8,3416796579.59,20903625612.79,256673422.775
70,2019-10-01,103102.0,2346380739.746,1010724518.2500001,492159416.11,1509939980.0,32159041355.5,11973659814.573,601844932.54,3830253331.166,285517881.6,7027350989.54,29690016617.96,563542997.345
71,2020-01-01,109005.0,2871157764.438,1085211008.529,564568995.55,1800648402.0,28018849071.12,10142530337.198,739350075.451,3402270498.4040003,213621172.3,7674967627.42,34837185318.64,501503392.453
72,2020-04-01,116456.0,4010691659.873,2180074846.6080003,824963968.36,2944538276.0,54259461561.42,23456244656.907,1433256459.925,7137488420.057,547452876.4,13128447308.83,66534988698.17,1131531995.6200001
73,2020-07-01,84108.0,708902332.969,631979667.849,167252626.21,652604582.0,9994763179.52,5722226840.996,507690223.882,1733672408.8739998,134664302.5,3181816451.9,20592782363.28,233115601.001
74,2020-10-01,100664.0,2060835804.171,1148482408.528,488086855.67,1263162585.0,28675736553.8,12003510930.861,765957801.1309999,3682694753.5,218353989.4,7418532229.18,36484628531.09,567926517.921
75,2021-01-01,104684.0,2296557938.376,974111941.581,504469949.64,1670373620.0,28798879759.98,10291034201.069,573977788.969,3332671309.27,280045973.5,6796894701.64,28869982772.8,495295158.88199997
76,2021-04-01,115806.0,5182705568.841,2467980515.244,1168298028.1899998,2929116918.0,72580354051.74,25967531509.277,1645491919.049,7431111539.624001,544468992.8,15297866952.62,75403371994.68,1255749151.457
77,2021-07-01,90113.0,842966405.428,330568411.10400003,189119308.0,529062674.0,11616705017.08,3421589830.5230002,206927902.984,1353005939.249,96386015.5,2722763820.37,10744411368.78,150658258.696
78,2021-10-01,109242.0,2975453988.254,1131797327.31,631418250.36,1724439990.0,34637713686.16,13084697531.221998,685875592.656,4099016475.214,291602954.5,7747650019.38,33692401409.26,608133097.466
79,2022-01-01,107564.0,2731522235.223,1015071123.268,603324547.95,2022916200.0,32623006286.3,10541363430.267,628090212.1389999,3562225737.058,393866389.2,7653290362.68,31906448652.219997,503217199.737
80,2022-04-01,113176.0,4013332275.2739997,2175059388.248,970551477.46,2820796684.0,63744232026.0,24210837141.71,1401973175.302,7370808478.035999,609335151.5,13854531288.04,65212984539.520004,1136924458.066
81,2022-07-01,83087.0,570794507.197,301984144.385,147981240.12,413037791.0,10811532818.8,3493099663.9960003,220817023.182,1695559144.8950002,79695009.1,2372743843.91,10277452658.53,133098856.206
82,2022-10-01,109621.0,1982209165.784,1177535022.529,531968381.84999996,1278746532.0,35194471662.8,13769593972.846,719821899.681,4148710841.6900005,290580229.9,7880075071.2,34862476859.979996,641273010.223
83,2023-01-01,112592.0,2171353721.766,1230404340.623,574035547.0,1476343792.0,39793804988.84,12263893938.556,878734469.8889999,3950944203.231,300403162.6,8783872182.37,40181964874.79,589975544.752
84,2023-04-01,123267.0,3233368901.307,2124795457.224,820682574.38,2274177135.0,66277693320.7,23182243050.565,1445230184.303,7260206638.291,487955398.4,13885950616.65,65778491966.770004,1086532158.924
85,2023-07-01,86179.0,696422353.0,679500872.6910001,177719831.54,582108519.0,15328737383.9,6190599753.791,553938141.699,1572368695.364,106659918.0,3910494692.86,23156385007.46,313889131.992
86,2023-10-01,113505.0,1953783280.474,874796729.8790001,530216226.81,1540136630.0,35891526461.42,9547682294.241,484412162.46900004,3653016291.117,452156228.5,7347902563.43,25857362895.59,433482761.447
87,2024-01-01,109523.0,2048463445.756,1140150520.135,514080551.25,1842731236.0,39857178383.46,12350702677.103,693410355.247,3849520278.413,351707888.3,7865108468.75,33131559519.85,595751228.733
88,2024-04-01,122383.0,3516936438.5969996,2067847843.522,892135852.99,2606849628.0,69478515682.18,23071865232.883,1331897923.863,7519024238.59,546713746.0,13793255784.64,62319872297.42,1079385606.859
